title,year,duration,genre,rating,movie_url
One Flew Over the Cuckoo's Nest ,1975,2h 13min,Drama,8.7,https://www.imdb.com/title/tt0073486/
Oldboy ,2003,2h,Action,8.4,https://www.imdb.com/title/tt0364569/
Hamilton ,2020,2h 40min,Biography,8.6,https://www.imdb.com/title/tt8503618/
Parasite ,2019,2h 12min,Comedy,8.6,https://www.imdb.com/title/tt6751668/
Interstellar ,2014,2h 49min,Adventure,8.6,https://www.imdb.com/title/tt0816692/
Andhadhun ,2018,2h 19min,Crime,8.3,https://www.imdb.com/title/tt8108198/
Goodfellas ,1990,2h 26min,Biography,8.7,https://www.imdb.com/title/tt0099685/
The Lord of the Rings: The Two Towers ,2002,2h 59min,Action,8.7,https://www.imdb.com/title/tt0167261/
Forrest Gump ,1994,2h 22min,Drama,8.8,https://www.imdb.com/title/tt0109830/
Fight Club ,1999,2h 19min,Drama,8.8,https://www.imdb.com/title/tt0137523/
Schindler's List ,1993,3h 15min,Biography,8.9,https://www.imdb.com/title/tt0108052/
The Lord of the Rings: The Fellowship of the Ring ,2001,2h 58min,Action,8.8,https://www.imdb.com/title/tt0120737/
Pulp Fiction ,1994,2h 34min,Crime,8.9,https://www.imdb.com/title/tt0110912/
The Godfather: Part II ,1974,3h 22min,Crime,9.0,https://www.imdb.com/title/tt0071562/
The Godfather ,1972,2h 55min,Crime,9.2,https://www.imdb.com/title/tt0068646/
The Dark Knight ,2008,2h 32min,Action,9.0,https://www.imdb.com/title/tt0468569/
12 Angry Men ,1957,1h 36min,Crime,9.0,https://www.imdb.com/title/tt0050083/
The Lord of the Rings: The Return of the King ,2003,3h 21min,Action,8.9,https://www.imdb.com/title/tt0167260/
